property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score
3050,3 BHK Apartment for Sale in Varthur Bangalore,22000000.0,13819.0,3.0,1021.0,1.0,Resale,Unfurnished,3.0,apartment,12.93966126,77.72096975,Balagere,20.15,43.45,40.0,0.4234
3051,3 BHK Apartment for Sale in Varthur Bangalore,27599999.999999996,16000.0,3.0,1300.0,23.0,Resale,Unfurnished,3.0,apartment,12.94162601,77.74251723,Patel Layout,23.0,40.77,40.0,0.4215
3052,3 BHK Apartment for Sale in Krishnarajapura Bangalore,17900000.0,11933.0,3.0,1100.0,8.0,New Property,Unfurnished,3.0,apartment,13.020838705097928,77.71137652857887,Bhattarahalli,18.91,32.24,5.77,0.0852
3053,3 BHK Apartment for Sale in Begur Road Bangalore,22500000.0,11930.0,3.0,1250.0,12.0,New Property,Unfurnished,3.0,apartment,12.86952802,77.63431631,Begur,17.75,48.51,2.71,0.1332
3054,3 BHK Apartment for Sale in Whitefield Bangalore,28400000.0,14500.0,3.0,1289.0,14.0,Resale,Unfurnished,4.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3055,3 BHK Apartment for Sale in Yelahanka Bangalore,17500000.0,10996.0,3.0,1600.0,4.0,New Property,Unfurnished,3.0,apartment,13.093828398505485,77.61890370674564,Muneshwara Layout,18.59,21.94,40.0,0.4291
3056,3 BHK Apartment for Sale in ITI Colony Chinnapa Garden Bangalore,12500000.0,8929.0,3.0,1100.0,1.0,New Property,Semi,3.0,apartment,13.00546989,77.60462086,ITI Colony,7.56,32.36,5.22,0.117
3057,3 BHK Apartment for Sale in Bidarahalli Bangalore,13600000.000000002,10543.0,3.0,1290.0,11.0,New Property,Unfurnished,2.0,apartment,13.0610142,77.7158358,Bidarahalli,26.54,24.42,40.0,0.4224
3058,3 BHK Apartment for Sale in Block 1st JayaNagar Bangalore,26000000.0,12381.0,3.0,1800.0,0.0,New Property,Unfurnished,3.0,apartment,12.94590855,77.59122219,B Venkata Reddy Nagar,6.29,39.1,2.86,0.1635
3059,"3 BHK Apartment for Sale in Singasandra, Hosur Road Bangalore",15000000.0,11783.0,3.0,925.0,17.0,Resale,Unfurnished,2.0,apartment,12.8803174,77.6478945,Singasandra,16.89,47.65,3.21,0.1215
3060,3 BHK Apartment for Sale in Doddagubbi Bangalore,14800000.0,8438.0,3.0,1754.0,11.0,New Property,Unfurnished,3.0,apartment,13.0714958,77.67426785,Doddagubbi,21.77,22.66,40.0,0.426
3061,3 BHK Apartment for Sale in Whitefield Main Road Bangalore,32000000.0,16495.0,3.0,1940.0,5.0,Resale,Unfurnished,3.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3062,3 BHK Apartment for Sale in Bommasandra Bangalore,6030000.0,5500.0,3.0,1096.0,1.0,New Property,Unfurnished,3.0,apartment,12.80542192,77.69054698,Electronic City,27.38,58.14,3.24,0.1118
3063,3 BHK Apartment for Sale in Whitefield Bangalore,12000000.0,7103.0,3.0,1690.0,1.0,New Property,Unfurnished,3.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3064,3 BHK Builder Floor for Sale in Siddanna Layout Stage 2 Banashankari Bangalore,32500000.0,13542.0,3.0,2400.0,2.0,New Property,Unfurnished,3.0,apartment,12.92625116,77.56730991,Siddanna Layout,7.16,39.95,2.37,0.1726
3065,3 BHK Apartment for Sale in Yelahanka New Town Bangalore,23000000.0,14198.0,3.0,1620.0,19.0,New Property,Unfurnished,3.0,apartment,13.1017957645958,77.5698680865053,Phase 4,20.16,26.28,40.0,0.4262
3066,3 BHK Apartment for Sale in Jayanagar Bangalore,43500000.0,15999.0,3.0,2719.0,1.0,New Property,Unfurnished,3.0,apartment,12.9314714,77.5871096,4th T Block East,7.5,40.26,1.59,0.2063
3067,1 BHK Apartment for Sale in Whitefield Bangalore,9500000.0,14438.0,1.0,658.0,24.0,Resale,Unfurnished,2.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
3068,3 BHK Apartment for Sale in Narayana Reddy Layout Channasandra Bangalore,26500000.0,14850.0,3.0,1120.0,6.0,New Property,Unfurnished,3.0,apartment,13.20002,77.49996,Channasandra,39.01,29.96,40.0,0.4165
3069,"3 BHK Apartment for Sale in Singasandra, Hosur Road Bangalore",24900000.000000004,11711.0,3.0,1600.0,12.0,New Property,Unfurnished,3.0,apartment,12.8719908068456,77.64231836441813,Aishwarya Crystal Layout,17.52,48.28,1.74,0.1716
3070,3 BHK Apartment for Sale in Sarjapur Road Bangalore,22000000.0,13213.0,3.0,1125.0,2.0,Resale,Unfurnished,3.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3071,3 BHK Apartment for Sale in Varthur Bangalore,20099999.999999996,14040.0,3.0,950.0,22.0,Resale,Unfurnished,2.0,apartment,12.94162601,77.74251723,Patel Layout,23.0,40.77,40.0,0.4215
3072,1 BHK Apartment for Sale in Panathur Bangalore,9400000.0,14242.0,1.0,660.0,15.0,Resale,Unfurnished,1.0,apartment,12.93365264,77.71669785,Balagere,20.77,45.41,40.0,0.4227
3073,3 BHK Apartment for Sale in Hoskote Bangalore,11000000.0,8000.0,3.0,1384.0,11.0,New Property,Unfurnished,3.0,apartment,13.0689366,77.7968211,Kaveri Nagar,30.37,41.36,40.0,0.4175
3074,3 BHK Apartment for Sale in Akshayanagar Bangalore,15400000.0,11493.0,3.0,1340.0,11.0,New Property,Unfurnished,2.0,apartment,12.86472131,77.61773865,Akshayanagara East,17.65,48.41,4.71,0.0955
